DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20190710,0.0081,0.4018,-0.3939,-0.0081,-0.4030,0.0863
20190711,0.0081,0.1932,-0.6978,-0.3131,0.1210,0.1123
20190712,0.0081,0.5351,0.3799,0.1023,0.1072,-0.4179
20190715,0.0081,-0.0410,-0.3953,0.1421,0.3498,0.6231
20190716,0.0081,-0.3201,0.4886,-0.0600,0.5232,-0.1714
20190717,0.0081,-0.6353,-0.3720,-0.2538,-0.1321,0.6488
20190718,0.0081,0.3487,-0.2214,0.0919,0.1134,0.0249
20190719,0.0081,-0.5647,0.2947,0.4201,0.0741,-0.2378
20190722,0.0081,0.2447,-0.5104,0.0693,-0.0812,0.3846
20190723,0.0081,0.6456,-0.1116,0.5611,0.1630,-0.0228
20190724,0.0081,0.6631,0.7206,0.0244,-0.6029,-0.4475
20190725,0.0081,-0.6319,-0.2854,-0.0562,1.0182,0.1702
20190726,0.0081,0.8196,0.2280,-0.1067,-0.1745,0.0998
20190729,0.0081,-0.3227,-0.2421,0.2970,0.4016,0.2959
20190730,0.0081,-0.1730,1.1981,0.0240,-1.0314,-0.5056
20190731,0.0081,-1.0900,0.2846,0.2002,0.1204,-0.0472
20190801,0.0087,-1.0448,-0.6355,-0.3159,0.3833,0.9595
20190802,0.0087,-0.8704,-0.1907,0.2643,0.5057,-0.0591
20190805,0.0087,-3.0702,-0.1127,0.4446,0.1459,-0.0399
20190806,0.0087,1.2892,-0.3687,-0.2011,0.3513,0.3022
20190807,0.0087,0.0655,-0.4281,0.1812,0.0373,0.0817
20190808,0.0087,1.9697,-0.1711,-0.5602,-0.0987,0.8143
20190809,0.0087,-0.7836,-0.6705,0.0891,-0.0323,-0.0969
20190812,0.0087,-1.3165,0.0441,0.2736,0.1962,0.2181
20190813,0.0087,1.4656,-0.3391,-0.0368,0.3094,0.4560
20190814,0.0087,-2.9513,-0.2059,0.1064,-0.0171,-0.3412
20190815,0.0087,0.1607,-0.7910,-0.6693,0.1339,0.4146
20190816,0.0087,1.5466,0.6279,0.0581,-0.2209,-0.2994
20190819,0.0087,1.1408,0.0375,-0.1248,0.0276,-0.2239
20190820,0.0087,-0.7571,0.0588,-0.4003,0.0850,-0.0561
20190821,0.0087,0.8472,0.0661,-0.2297,0.1365,0.1276
20190822,0.0087,-0.1019,-0.3952,0.0761,-0.0621,-0.4677
20190823,0.0087,-2.6651,-0.7793,-0.3926,-0.4182,-0.4389
20190826,0.0087,1.0804,-0.1016,0.0054,0.3018,0.2498
